InvoiceDate,Product,Quantity,UnitPrice,Region,CustomerID
2023-01-01 00:00:00.000000000,Keyboard,6,150,East,C0186
2023-01-01 11:41:16.050700466,Headphones,2,1800,North,C0252
2023-01-01 23:22:32.101400933,Wireless Mouse,4,450,West,C0355
2023-01-02 11:03:48.152101400,Headphones,3,1800,West,C0238
2023-01-02 22:45:04.202801867,Headphones,5,1200,East,C0360
2023-01-03 10:26:20.253502334,Laptop Bag,4,3500,North,C0184
2023-01-03 22:07:36.304202801,Wireless Mouse,3,450,East,C0284
2023-01-04 09:48:52.354903268,Wireless Mouse,3,1200,West,C0385
2023-01-04 21:30:08.405603735,Wireless Mouse,1,3500,North,C0426
2023-01-05 09:11:24.456304202,Headphones,5,450,North,C0210
2023-01-05 20:52:40.507004669,Keyboard,1,700,East,C0304
2023-01-06 08:33:56.557705136,Wireless Mouse,2,150,South,C0296
2023-01-06 20:15:12.608405603,Smart Watch,1,150,East,C0097
2023-01-07 07:56:28.659106070,Headphones,1,1200,West,C0447
2023-01-07 19:37:44.709806537,Laptop Bag,4,3500,West,C0460
2023-01-08 07:19:00.760507004,Keyboard,6,150,West,C0456
2023-01-08 19:00:16.811207471,Smart Watch,3,3500,West,C0472
2023-01-09 06:41:32.861907938,Smart Watch,5,3500,West,C0208
2023-01-09 18:22:48.912608405,Laptop Bag,1,1200,South,C0370
2023-01-10 06:04:04.963308872,Keyboard,5,1200,North,C0388
2023-01-10 17:45:21.014009339,Headphones,6,1200,East,C0422
2023-01-11 05:26:37.064709806,Mobile Cover,6,150,East,C0492
2023-01-11 17:07:53.115410273,Keyboard,1,1200,West,C0411
2023-01-12 04:49:09.166110740,Laptop Bag,2,150,East,C0137
2023-01-12 16:30:25.216811207,Smart Watch,1,1200,West,C0367
2023-01-13 04:11:41.267511674,Headphones,4,1800,South,C0400
2023-01-13 15:52:57.318212141,Keyboard,3,3500,South,C0184
2023-01-14 03:34:13.368912608,Mobile Cover,2,1200,North,C0076
2023-01-14 15:15:29.419613075,Mobile Cover,1,450,South,C0287
2023-01-15 02:56:45.470313542,Wireless Mouse,5,3500,South,C0472
2023-01-15 14:38:01.521014009,Wireless Mouse,2,3500,North,C0375
2023-01-16 02:19:17.571714476,Laptop Bag,2,1200,East,C0142
2023-01-16 14:00:33.622414943,Keyboard,1,700,West,C0237
2023-01-17 01:41:49.673115410,Keyboard,2,1200,West,C0025
2023-01-17 13:23:05.723815877,Smart Watch,5,3500,East,C0290
2023-01-18 01:04:21.774516344,Smart Watch,6,450,North,C0067
2023-01-18 12:45:37.825216811,Smart Watch,2,3500,East,C0250
2023-01-19 00:26:53.875917278,Wireless Mouse,6,450,South,C0408
2023-01-19 12:08:09.926617745,Keyboard,5,150,North,C0118
2023-01-19 23:49:25.977318212,Keyboard,1,1800,North,C0490
2023-01-20 11:30:42.028018679,Mobile Cover,3,3500,North,C0073
2023-01-20 23:11:58.078719146,Wireless Mouse,2,1200,West,C0282
2023-01-21 10:53:14.129419613,Headphones,3,150,East,C0404
2023-01-21 22:34:30.180120080,Wireless Mouse,5,1800,North,C0448
2023-01-22 10:15:46.230820547,Headphones,2,1200,North,C0360
2023-01-22 21:57:02.281521014,Mobile Cover,6,700,North,C0010
2023-01-23 09:38:18.332221481,Laptop Bag,4,1200,East,C0211
2023-01-23 21:19:34.382921948,Keyboard,3,450,West,C0323
2023-01-24 09:00:50.433622415,Mobile Cover,2,450,South,C0152
2023-01-24 20:42:06.484322881,Keyboard,3,700,West,C0005
2023-01-25 08:23:22.535023348,Smart Watch,2,150,North,C0195
2023-01-25 20:04:38.585723815,Laptop Bag,1,1800,West,C0442
2023-01-26 07:45:54.636424282,Laptop Bag,6,1200,West,C0283
2023-01-26 19:27:10.687124749,Mobile Cover,3,450,South,C0464
2023-01-27 07:08:26.737825216,Laptop Bag,4,150,East,C0113
2023-01-27 18:49:42.788525683,Headphones,4,700,East,C0271
2023-01-28 06:30:58.839226150,Laptop Bag,5,3500,West,C0163
2023-01-28 18:12:14.889926617,Keyboard,2,450,West,C0460
2023-01-29 05:53:30.940627084,Keyboard,3,700,East,C0105
2023-01-29 17:34:46.991327551,Keyboard,5,1200,East,C0181
2023-01-30 05:16:03.042028018,Keyboard,3,1800,South,C0044
2023-01-30 16:57:19.092728485,Headphones,2,450,North,C0282
2023-01-31 04:38:35.143428952,Wireless Mouse,4,450,West,C0175
2023-01-31 16:19:51.194129419,Smart Watch,1,1200,East,C0162
2023-02-01 04:01:07.244829886,Mobile Cover,4,3500,West,C0471
2023-02-01 15:42:23.295530353,Keyboard,5,150,West,C0351
2023-02-02 03:23:39.346230820,Laptop Bag,6,1800,East,C0434
2023-02-02 15:04:55.396931287,Keyboard,1,450,South,C0340
2023-02-03 02:46:11.447631754,Laptop Bag,5,1800,West,C0140
2023-02-03 14:27:27.498332221,Smart Watch,2,450,South,C0471
2023-02-04 02:08:43.549032688,Smart Watch,1,1800,East,C0132
2023-02-04 13:49:59.599733155,Smart Watch,5,700,North,C0087
2023-02-05 01:31:15.650433622,Laptop Bag,2,450,North,C0176
2023-02-05 13:12:31.701134089,Keyboard,4,1800,West,C0183
